,goods_title,goods_url_full,price_whole,price_fraction,ad_plus,goods_review_count
0,"Luka&Lily Baby Monthly Milestone Blanket for Baby Boy and Girl, Personalized Baby Blanket for Newborn Baby Shower, Month Blanket for Baby Pictures, Includes Bandana Drool Bib + 2 Frames, Large 60""x40""",https://www.amazon.com/Luka-Lily-Milestone-Personalized-Pictures/dp/B07WW1CT4W/ref=sr_1_4?keywords=milestone+blanket&qid=1574156604&sr=8-4,23,95,0,15
1,Baby Monthly Milestone Blanket | Includes Wooden Wreath and Pacifier Clip | 1 to 12 Months | 100% Organic Fleece Extra Soft | Best Photography Backdrop Prop for Newborn Boy & Girl,https://www.amazon.com/Baby-Milestone-Pacifier-Photography-Backdrop/dp/B07WFWPZ2G/ref=sr_1_5?keywords=milestone+blanket&qid=1574156604&sr=8-5,22,99,0,13
2,Organic Baby Monthly Milestone Blanket (Forever Loved) for Newborn Boy or Girl | 1 to 12 Months | Soft Photography Background Prop | Baby Shower Gift,https://www.amazon.com/Milestone-Pondering-Pine-Photography-Background/dp/B07BNBTGHD/ref=sr_1_6?keywords=milestone+blanket&qid=1574156604&sr=8-6,23,95,0,119
3,Baby Monthly Milestone Blanket for Boy Girl Unisex | Neutral Personalized Photography Background Blankets | Thick Fleece for Mom Newborn Baby Shower Gifts + Bandana Drool Bib + 2 Months Frame Markers,https://www.amazon.com/Monthly-Milestone-Blanket-Frames-Newborn/dp/B07DVT7CPK/ref=sr_1_7?keywords=milestone+blanket&qid=1574156604&sr=8-7,19,95,0,116
4,"Tiny Smiles Baby Monthly Milestone Blanket Girl | Large 60""x40"" | Bonus Floral Wreath & Headband | Soft Photography Background | Newborn Girls or Boys Photo Prop | Best Months Watch Me Grow",https://www.amazon.com/Monthly-Milestone-Blanket-Photography-Background/dp/B07CWMVVTF/ref=sr_1_8?keywords=milestone+blanket&qid=1574156604&sr=8-8,18,99,0,133
5,Organic Baby Monthly Milestone Blanket (Baby Bear) with Month Frame Prop for Newborn Boy | 1 to 12 Months | Soft Photography Background | Baby Shower Gift,https://www.amazon.com/Organic-Monthly-Milestone-Photography-Background/dp/B07WZXY375/ref=sr_1_9?keywords=milestone+blanket&qid=1574156604&sr=8-9,24,95,0,24
6,Baby Monthly Milestone Blanket | Includes Floral Wreath & Headband | 1 to 12 Months | 100% Organic Fleece Extra Soft | Best Photography Backdrop Photo Prop for Newborn | Baby Girl,https://www.amazon.com/Baby-Milestone-Headband-Photography-Backdrop/dp/B07QX5NGBQ/ref=sr_1_10?keywords=milestone+blanket&qid=1574156604&sr=8-10,22,99,0,74
7,"Henry Hunter Baby Monthly Milestone Blanket with Frame & Milestone Cards | Photography Prop for Baby Girl | 100% Premium Cotton Fleece | 30 x 40 inches (Regular, Arrows)",https://www.amazon.com/Henry-Hunter-Monthly-Milestone-Photography/dp/B07GNWCHJ5/ref=sr_1_11?keywords=milestone+blanket&qid=1574156604&sr=8-11,21,99,0,78
8,"HAN-MM Baby Monthly Milestone Blanket with Wooden Circle Ring Large(43.3"" X43.3') Double Sided Pom Pom Ball Thick Flannel Round Rug for Boy Girl, Soft Baby Photography Props,Newborn",https://www.amazon.com/HAN-MM-Monthly-Milestone-Blanket-Photography/dp/B07RFQKBVB/ref=sr_1_12?keywords=milestone+blanket&qid=1574156604&sr=8-12,24,99,0,125
9,Double Sided Monthly Baby Milestone Blanket- Month Blanket for Baby Pictures | Photo Blanket with Baby Photo Props | Monthly Blankets for Newborns | Boy and Girl Milestone Blanket (White Grey Blue),https://www.amazon.com/Milestone-Blanket-Pictures-Blankets-Newborns/dp/B07CXHVQ53/ref=sr_1_13?keywords=milestone+blanket&qid=1574156604&sr=8-13,21,99,0,97
10,Baby Monthly Milestone Blanket - Floral Plush Fleece Baby Photography Backdrop Memory Blanket for Newborns Large - New Moms Set,https://www.amazon.com/Baby-Monthly-Milestone-Blanket-Photography/dp/B07T3QVJXL/ref=sr_1_14?keywords=milestone+blanket&qid=1574156604&sr=8-14,22,99,0,252
11,Baby Monthly Milestone Blanket - Organic Plush Fleece Photography Background Prop for Boy Girl Newborn Soft Elephant Blanket with Frame Large 47''x40'',https://www.amazon.com/Baby-Monthly-Milestone-Blanket-Photography/dp/B07SLB2MHK/ref=sr_1_15?keywords=milestone+blanket&qid=1574156604&sr=8-15,19,99,0,40
12,"Baby Monthly Milestone Blanket for Boys Girls – Soft Fluffy Unisex Design – 60 x 40 in – 1 to 12 with Weeks and Months – Includes Wreath and String Markers, 18 Baby Milestone Cards and an e-Book",https://www.amazon.com/Baby-Milestone-Blanket-Girls-Book/dp/B07JK6RR1T/ref=sr_1_16?keywords=milestone+blanket&qid=1574156604&sr=8-16,22,95,0,79
13,Baby Monthly Milestone Blanket for Girl Boy— Bonus: Wreath + Headband— Premium Fleece with 3D Digital Printing | Best Newborn Photography Flan,https://www.amazon.com/Baby-Monthly-Milestone-Blanket-Bonus/dp/B07T3CHJTC/ref=sr_1_17?keywords=milestone+blanket&qid=1574156604&sr=8-17,22,99,0,4
14,"Baby Monthly Milestone Blanket for Pictures - Baby Blanket, Milestone Monthly, Newborn Shower Girl Photography Boy Photo Fleece Month for Pictures Watch Me Grow Thick Months Floral Memory Personalized",https://www.amazon.com/Baby-Monthly-Milestone-Blanket-Pictures/dp/B07RHF8R7T/ref=sr_1_18?keywords=milestone+blanket&qid=1574156604&sr=8-18,18,99,0,16
